coin,symbol,price,change_1h,change_24h,change_7d,volume_24h,market_cap,date,price_normalized,volume_24h_normalized,market_cap_normalized,liquidity_ratio,volatility_score,avg_abs_change,turnover_rate,market_dominance,momentum_short,momentum_medium,momentum_long,momentum_consistency,liquidity_class
Bitcoin,BTC,40859.46,0.022,0.03,0.055,35390763321.0,770991461396.0,2022-03-16,0.991318930147484,0.6108704964347693,0.9934460122575236,0.045902925120492925,0.01721433511156714,0.035666666666666666,0.6108704964347693,20.53073156488898,0.022,0.03,0.055,1,Medium
Ethereum,ETH,2744.41,0.024,0.034,0.065,19748695312.0,327104429349.0,2022-03-16,0.0665839828789877,0.3408769457657339,0.4214352373551158,0.0603742827674442,0.021377558326431952,0.041,0.3408769457657339,8.710463823413434,0.024,0.034,0.065,1,Medium
Tether,USDT,1.0,-0.001,-0.001,0.0,57934969077.0,79965155138.0,2022-03-16,2.4261674742554175e-05,1.0,0.102961577292696,0.7245026784105981,0.0005773502691896258,0.0006666666666666666,1.0,2.12939210988193,-0.001,-0.001,0.0,0,High
BNB,BNB,383.43,0.018,0.0279999999999999,0.004,1395853984.0,64043816800.0,2022-03-16,0.0093026539603066,0.0240934621393307,0.0824446970445735,0.02179529662260854,0.012055427546683367,0.016666666666666635,0.024093462139330796,1.705422792531265,0.018,0.0279999999999999,0.004,1,Medium
USD Coin,USDC,0.999874,-0.001,0.0,-0.0,3872273611.0,52222137400.0,2022-03-16,2.425861777153208e-05,0.0668382787233985,0.0672108030444311,0.07415004064923623,0.0005773502691896258,0.0003333333333333333,0.06683827872339851,1.390623292718235,-0.001,0.0,-0.0,0,Medium
XRP,XRP,0.785018,0.019,0.019,0.089,3925204682.0,37530785877.0,2022-03-16,1.9045851375310117e-05,0.067751907777548,0.0482789335318631,0.10458626405703601,0.0404145188432738,0.042333333333333334,0.06775190777754801,0.9994072941674879,0.019,0.019,0.089,1,High
Terra,LUNA,89.51,0.024,-0.005,0.046,2661508267.0,32945963147.0,2022-03-16,0.0021716625093927,0.0459395820762871,0.0423707456073738,0.08078404796134643,0.02557994005726623,0.024999999999999998,0.04593958207628716,0.8773180500508346,0.024,-0.005,0.046,0,Medium
Solana,SOL,85.61,0.024,0.0139999999999999,0.0409999999999999,1776167313.0,27535891424.0,2022-03-16,0.0020770419777563,0.0306579487535298,0.0353991084674468,0.06450371573777745,0.013650396819628836,0.026333333333333264,0.030657948753529805,0.7332532505644759,0.024,0.0139999999999999,0.0409999999999999,1,Medium
Cardano,ADA,0.824161,0.016,0.016,0.0279999999999999,950718327.0,26331888060.0,2022-03-16,1.999552611116723e-05,0.0164100946655623,0.0338475810573065,0.03610520919858414,0.0069282032302754515,0.019999999999999966,0.016410094665562393,0.701191845079194,0.016,0.016,0.0279999999999999,1,Medium
Polkadot,DOT,18.55,0.031,0.035,0.095,762198942.0,20175265447.0,2022-03-16,0.0004500540671062,0.0131561120018374,0.0259139082590641,0.03777888048126458,0.03585154575933001,0.05366666666666667,0.013156112001837429,0.5372471420017284,0.031,0.035,0.095,1,Medium
Avalanche,AVAX,73.69,0.034,0.032,0.011,866838890.0,19563622731.0,2022-03-16,0.0017878428143959,0.0149622741465159,0.0251257207278151,0.044308710197443646,0.01274100990241093,0.025666666666666667,0.014962274146515983,0.5209597081654596,0.034,0.032,0.011,1,Medium
Binance USD,BUSD,1.0,-0.002,0.002,0.002,4039490120.0,17975175881.0,2022-03-16,2.4261674742554175e-05,0.069724558144343,0.0230787838993845,0.2247260414441783,0.002309401076758503,0.002,0.069724558144343,0.4786609571217133,-0.002,0.002,0.002,0,High
Dogecoin,DOGE,0.11566,0.015,0.023,-0.011,451839687.0,15312260998.0,2022-03-16,2.8061052688837507e-06,0.0077990839418498,0.0196472441251775,0.02950835850166195,0.017776388834631177,0.016333333333333335,0.0077990839418498785,0.40775019691169834,0.015,0.023,-0.011,0,Medium
TerraUSD,UST,1.0,-0.001,0.003,0.001,742209053.0,15025463384.0,2022-03-16,2.4261674742554175e-05,0.0128110718763575,0.0192776651251608,0.04939674963970482,0.002,0.0016666666666666668,0.012811071876357567,0.400113063271044,-0.001,0.003,0.001,0,Medium
Shiba Inu,SHIB,2.241815e-05,0.024,0.0279999999999999,-0.021,546344871.0,12186102832.0,2022-03-16,5.438658601115701e-10,0.0094303126368094,0.015618750328558,0.0448334367871351,0.027209067116189995,0.0243333333333333,0.009430312636809487,0.32450373135510246,0.024,0.0279999999999999,-0.021,0,Medium
