coin,symbol,price,change_1h,change_24h,change_7d,volume_24h,market_cap,date,price_normalized,volume_24h_normalized,market_cap_normalized
Bitcoin,BTC,40859.46,0.022,0.03,0.055,35390763321.0,770991461396.0,2022-03-16,0.9913189301474841,0.6108704964347693,0.9934460122575236
Ethereum,ETH,2744.41,0.024,0.034,0.065,19748695312.0,327104429349.0,2022-03-16,0.06658398287898774,0.3408769457657339,0.42143523735511584
Tether,USDT,1.0,-0.001,-0.001,0.0,57934969077.0,79965155138.0,2022-03-16,2.4261674742554178e-05,1.0,0.10296157729269603
BNB,BNB,383.43,0.018,0.0279999999999999,0.004,1395853984.0,64043816800.0,2022-03-16,0.009302653960306682,0.024093462139330796,0.08244469704457359
USD Coin,USDC,0.999874,-0.001,0.0,-0.0,3872273611.0,52222137400.0,2022-03-16,2.425861777153208e-05,0.06683827872339852,0.06721080304443114
XRP,XRP,0.785018,0.019,0.019,0.089,3925204682.0,37530785877.0,2022-03-16,1.9045851375310114e-05,0.06775190777754801,0.048278933531863126
Terra,LUNA,89.51,0.024,-0.005,0.046,2661508267.0,32945963147.0,2022-03-16,0.0021716625093927675,0.04593958207628716,0.04237074560737385
Solana,SOL,85.61,0.024,0.0139999999999999,0.0409999999999999,1776167313.0,27535891424.0,2022-03-16,0.0020770419777563893,0.030657948753529805,0.035399108467446844
Cardano,ADA,0.824161,0.016,0.016,0.0279999999999999,950718327.0,26331888060.0,2022-03-16,1.999552611116723e-05,0.016410094665562397,0.03384758105730654
Polkadot,DOT,18.55,0.031,0.035,0.095,762198942.0,20175265447.0,2022-03-16,0.0004500540671062559,0.013156112001837429,0.02591390825906419
Avalanche,AVAX,73.69,0.034,0.032,0.011,866838890.0,19563622731.0,2022-03-16,0.0017878428143959717,0.014962274146515983,0.025125720727815184
Binance USD,BUSD,1.0,-0.002,0.002,0.002,4039490120.0,17975175881.0,2022-03-16,2.4261674742554178e-05,0.069724558144343,0.023078783899384517
Dogecoin,DOGE,0.11566,0.015,0.023,-0.011,451839687.0,15312260998.0,2022-03-16,2.8061052688837507e-06,0.007799083941849879,0.0196472441251775
TerraUSD,UST,1.0,-0.001,0.003,0.001,742209053.0,15025463384.0,2022-03-16,2.4261674742554178e-05,0.012811071876357567,0.019277665125160822
Shiba Inu,SHIB,2.241815e-05,0.024,0.0279999999999999,-0.021,546344871.0,12186102832.0,2022-03-16,5.4386586011157e-10,0.009430312636809489,0.015618750328558069
Wrapped Bitcoin,WBTC,40820.44,0.02,0.03,0.055,443045583.0,11077637101.0,2022-03-16,0.9903722395976248,0.007647291265680294,0.014190336574684452
Cronos,CRO,0.401575,0.018,0.043,0.038,99233479.0,10108572460.0,2022-03-16,9.742882013195307e-06,0.0017128425298391225,0.012941560701073797
Polygon,MATIC,1.44,0.0289999999999999,0.034,-0.0,665458992.0,9860943646.0,2022-03-16,3.4936811645119914e-05,0.011486309608891897,0.012622456200248221
Dai,DAI,0.999429,-0.0,-0.001,-0.0,311112491.0,9375312310.0,2022-03-16,2.4247821326255623e-05,0.005370029465045675,0.01199665202763874
Cosmos Hub,ATOM,28.8,0.017,0.051,0.035,784802946.0,8346059118.0,2022-03-16,0.0006987362335864806,0.013546273666892563,0.010670314753914648
Litecoin,LTC,109.44,0.016,0.013,0.089,735718470.0,7629784997.0,2022-03-16,0.0026551976877294383,0.01269903965983263,0.00974729496415794
Lido Staked Ether,STETH,2745.31,0.026,0.035,0.067,20327033.0,6972219575.0,2022-03-16,0.06660581838628844,0.00035085947785669515,0.008899929577400207
Near,NEAR,10.61,0.0409999999999999,0.032,0.091,402450393.0,6885969777.0,2022-03-16,0.00025741636936450134,0.0069465885528498805,0.008788784600801899
Chainlink,LINK,14.41,0.023,0.064,0.102,720924698.0,6696893329.0,2022-03-16,0.00034961073352302366,0.012443688319602554,0.008545133045951286
TRON,TRX,0.060751875857,0.011,0.005,0.003,608305288.0,6139215131.0,2022-03-16,1.473942218225569e-06,0.010499794816348582,0.007826486374267529
FTX Token,FTT,42.37,0.02,0.024,0.045,91093038.0,5803217982.0,2022-03-16,0.0010279671603315194,0.0015723325558166846,0.00739350686441751
Bitcoin Cash,BCH,295.57,0.018,0.015,0.039,1378527955.0,5613130722.0,2022-03-16,0.0071710232142625325,0.0237944021885613,0.007148552736358724
LEO Token,LEO,5.97,0.0069999999999999,0.01,0.055,831673.0,5547865232.0,2022-03-16,0.00014484219839198994,1.4355285128307275e-05,0.007064448987400065
OKB,OKB,19.05,0.013,0.039,0.072,180398248.0,4944831000.0,2022-03-16,0.00046218490449553514,0.003113805890881498,0.006287354696656119
Algorand,ALGO,0.731009,0.025,0.0139999999999999,-0.01,151572159.0,4824820884.0,2022-03-16,1.773550258219495e-05,0.002616246481439371,0.006132704809425308
Stellar,XLM,0.186969,0.017,0.026,0.079,257508818.0,4584325546.0,2022-03-16,4.536181035667979e-06,0.004444790807737398,0.005822792794164564
Uniswap,UNI,9.05,0.032,0.04,0.025,188489995.0,4103226435.0,2022-03-16,0.00021956815670995015,0.0032534753707986344,0.005202829029918279
Hedera,HBAR,0.200008,0.012,-0.0069999999999999,-0.024,65559083.0,3922919996.0,2022-03-16,4.852529013105604e-06,0.0011315977904962195,0.00497047886321784
